Titol;link
Ordenança de circulació de vianants i de vehicles;https://ajuntament.barcelona.cat/norma-portal-juridic/ca/vid/840951923
Ordenança de mesures per fomentar i garantir la convivència ciutadana a l'espai públic de Barcelona;https://ajuntament.barcelona.cat/norma-portal-juridic/ca/vid/840952049
Ordenança d’establiments i centres de comerç alimentari de Barcelona;https://ajuntament.barcelona.cat/norma-portal-juridic/#vid/840952124
Ordenança del medi ambient de Barcelona;https://ajuntament.barcelona.cat/norma-portal-juridic/ca/vid/840951883
Ordenança de Terrasses;https://ajuntament.barcelona.cat/norma-portal-juridic/ca/vid/840951888
Ordenança de protecció, tinència i venda d'animals;https://ajuntament.barcelona.cat/norma-portal-juridic/ca/vid/840952021
Ordenança municipal de les activitats i dels establiments de concurrència pública de Barcelona ;https://ajuntament.barcelona.cat/norma-portal-juridic/ca/vid/840952006
Ordenança sobre l’ús de les vies i els espais públics;https://ajuntament.barcelona.cat/norma-portal-juridic/ca/vid/840952155
